phase,metric,method,mean,std,ci_lower,ci_upper,sample_size
pre_anomaly,path_length,a_star,27.41,0.31,26.87,28.04,2500
pre_anomaly,path_length,hybrid,25.63,0.37,24.85,26.44,2500
pre_anomaly,improvement_percent,hybrid,6.5,0.1,6.3,6.7,50
pre_anomaly,coherence_r,both,0.33,0.16,0.08,0.58,2500
pre_anomaly,concurrence_c,both,0.41,0.13,0.20,0.62,2500
during_anomaly,path_length,a_star,29.86,0.18,29.80,30.38,500
during_anomaly,path_length,hybrid,27.92,0.31,27.44,28.64,500
during_anomaly,improvement_percent,hybrid,6.5,0.2,6.1,6.9,50
during_anomaly,coherence_r,both,0.32,0.16,0.07,0.57,500
during_anomaly,concurrence_c,both,0.45,0.12,0.25,0.65,500
post_anomaly,path_length,a_star,27.41,0.31,26.87,28.04,2000
post_anomaly,path_length,hybrid,25.63,0.38,24.84,26.49,2000
post_anomaly,improvement_percent,hybrid,6.5,0.1,6.3,6.7,50
post_anomaly,coherence_r,both,0.33,0.16,0.08,0.58,2000
post_anomaly,concurrence_c,both,0.45,0.12,0.25,0.65,2000
overall,failure_rate_percent,a_star,0.00,0.00,0.00,0.00,50
overall,failure_rate_percent,hybrid,0.00,0.00,0.00,0.00,50
overall,detection_time_seconds,echonet,0.76,1.49,0.00,5.00,50
overall,trials_completed,all,50,0,50,50,1
